label,f0,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16,f17,f18,f19,f20,f21,f22,f23,f24,f25,f26,f27,f28,f29,f30,f31,f32,f33,f34,f35,f36,f37,f38,f39,f40,f41,f42,f43,f44,f45,f46,f47,f48,f49,f50,f51,f52,f53,f54,f55,f56,f57,f58,f59,f60,f61,f62
ㅂ,0.0,0.0,0.0,-0.13437977,-0.034123585,-0.052243598,-0.24318808,-0.1823892,-0.07917274,-0.2416068,-0.3331435,-0.103898585,-0.15720853,-0.33478308,-0.12945679,-0.1866949,-0.4883203,-0.030626835,-0.19046497,-0.675762,-0.064631,-0.18061063,-0.7942766,-0.10115671,-0.16452801,-0.89827615,-0.13268828,-0.109714866,-0.5227614,-0.039072797,-0.11306495,-0.73873734,-0.062231857,-0.1057648,-0.8743353,-0.085537806,-0.09585471,-0.9897086,-0.106248766,-0.035655588,-0.5093342,-0.057286683,-0.03830132,-0.7120653,-0.079858206,-0.039865926,-0.8434445,-0.09973682,-0.038695496,-0.95694053,-0.11741213,0.041864425,-0.4588961,-0.08357933,0.036560223,-0.62128305,-0.10419236,0.031344585,-0.72828394,-0.11525778,0.026726162,-0.82396054,-0.12642114
ㅂ,0.0,0.0,0.0,-0.13854222,-0.024435882,-0.050846923,-0.2547662,-0.16222435,-0.07762607,-0.2652503,-0.31181848,-0.10258048,-0.18407494,-0.3240184,-0.12802808,-0.21058655,-0.47716808,-0.028654259,-0.22085679,-0.66483724,-0.06199257,-0.2156375,-0.78324693,-0.09740219,-0.20517135,-0.88828933,-0.12802808,-0.13451211,-0.5159835,-0.03814779,-0.14353345,-0.73283756,-0.062239155,-0.14103185,-0.8689431,-0.08536884,-0.13587758,-0.98508817,-0.10553951,-0.059103075,-0.5071278,-0.057455406,-0.0691094,-0.7101117,-0.08132484,-0.0754746,-0.8417821,-0.10110098,-0.07868625,-0.9566338,-0.11836194,0.020975696,-0.46072984,-0.084579766,0.010775994,-0.62430817,-0.106229946,0.0015407004,-0.7316079,-0.11757287,-0.007254286,-0.82973516,-0.12861988
ㅂ,0.0,0.0,0.0,-0.13706994,-0.035226572,-0.051333033,-0.24667382,-0.18507223,-0.07709774,-0.23604381,-0.3308004,-0.101184286,-0.1458777,-0.3314439,-0.12625799,-0.19068746,-0.49075606,-0.027962174,-0.19602951,-0.6784834,-0.060859066,-0.18718538,-0.79383856,-0.09689017,-0.17389745,-0.8966755,-0.12862715,-0.11381449,-0.52435493,-0.036673803,-0.119386874,-0.739677,-0.059970625,-0.11446447,-0.8725918,-0.08420525,-0.107404515,-0.9885569,-0.10592263,-0.03949487,-0.5103568,-0.055281647,-0.045422416,-0.7110356,-0.07788746,-0.04900934,-0.83925325,-0.09950613,-0.05094178,-0.9512085,-0.11865691,0.037643872,-0.46012357,-0.081984155,0.031533707,-0.62029916,-0.10345474,0.024492845,-0.72561175,-0.116583884,0.0174838,-0.82192785,-0.12961431
ㅅ,0.0,0.0,0.0,-0.14554267,0.11321828,-0.0014245124,-0.19205582,0.3078084,-0.021177093,-0.15984803,0.46528813,-0.034524444,-0.11098333,0.5696899,-0.04858767,-0.19581811,0.37812337,-0.11823407,-0.21917978,0.6480008,-0.15259542,-0.23374344,0.80418247,-0.16524999,-0.23903431,0.92301345,-0.16922188,-0.0873159,0.4040772,-0.12063566,-0.0753725,0.6927997,-0.13661553,-0.06888264,0.86831665,-0.13550709,-0.05549871,0.9889659,-0.1373545,0.011743113,0.41247496,-0.111491114,-0.0010494576,0.5847108,-0.099575475,-0.034574497,0.53046435,-0.065121755,-0.04749009,0.45048478,-0.043507352,0.08519612,0.40697056,-0.10308551,0.048160564,0.4989909,-0.078192,0.01872838,0.45287165,-0.03861179,0.015410897,0.39829794,-0.009180641
ㅂ,0.0,0.0,0.0,-0.13635178,-0.034675833,-0.04976955,-0.24603187,-0.18336444,-0.0757562,-0.22939253,-0.32458064,-0.10047946,-0.13464239,-0.32198456,-0.12683772,-0.19925207,-0.48416317,-0.03114041,-0.21292578,-0.6739675,-0.065500274,-0.21120927,-0.7917456,-0.10196582,-0.2031231,-0.8958468,-0.13426955,-0.12512186,-0.5206021,-0.041049525,-0.14161581,-0.73542553,-0.06688754,-0.14245574,-0.8676592,-0.09309716,-0.14149943,-0.9831024,-0.11613587,-0.05146173,-0.50877845,-0.060248442,-0.064085834,-0.71194607,-0.084872596,-0.072912134,-0.84001803,-0.109001294,-0.081043795,-0.9517074,-0.12990955,0.028893162,-0.4616166,-0.087102145,0.018124597,-0.6219889,-0.11048766,0.00616092,-0.7275521,-0.12564862,-0.006037848,-0.823223,-0.14001684
ㅅ,0.0,0.0,0.0,-0.13460125,0.13602538,0.03824861,-0.17046456,0.32472652,0.014002888,-0.13109118,0.49346003,-0.011157657,-0.086474694,0.6148832,-0.035006378,-0.22661033,0.36416018,-0.13339315,-0.25611982,0.62217873,-0.18807548,-0.27028364,0.7723489,-0.21817838,-0.27908033,0.89005077,-0.23732638,-0.13020937,0.35801467,-0.16865127,-0.12477652,0.6637837,-0.21541663,-0.106384225,0.8485556,-0.22333361,-0.08924915,0.96799487,-0.23456468,-0.026033724,0.35213578,-0.18697079,0.011394485,0.63331443,-0.1887199,0.03199791,0.59865993,-0.12759352,0.042041317,0.5177456,-0.09100053,0.072991274,0.344205,-0.20455383,0.094023354,0.55125725,-0.18476139,0.0910974,0.5252912,-0.12879026,0.089564815,0.46874455,-0.08948158
ㅂ,0.0,0.0,0.0,-0.13747568,-0.033761963,-0.05202861,-0.24760544,-0.1794673,-0.079351716,-0.23186843,-0.32008153,-0.1048467,-0.13616754,-0.3201479,-0.13182396,-0.1978755,-0.48407972,-0.032610912,-0.20940073,-0.6754172,-0.06734536,-0.205513,-0.7936384,-0.10415498,-0.19606413,-0.898527,-0.13646841,-0.122437745,-0.5197196,-0.04130688,-0.13590018,-0.7354802,-0.066999495,-0.1354676,-0.8679424,-0.09274153,-0.13249129,-0.9844411,-0.11542021,-0.048717707,-0.5076463,-0.059588168,-0.059968308,-0.7101806,-0.08389734,-0.06776538,-0.83820695,-0.10731715,-0.074319474,-0.9501519,-0.1275748,0.03126629,-0.46016526,-0.085923105,0.022040999,-0.6214754,-0.10919469,0.010947188,-0.727474,-0.12391853,-0.00046084187,-0.8238096,-0.13795066
ㅅ,0.0,0.0,0.0,-0.1296699,0.12657002,-0.020719454,-0.15983663,0.31136742,-0.061284296,-0.10633336,0.45699242,-0.091798246,-0.043027174,0.54389995,-0.122652166,-0.14097893,0.36177245,-0.16319576,-0.17485452,0.62011176,-0.22473364,-0.19297825,0.7737425,-0.26111236,-0.20136406,0.8943867,-0.2832116,-0.027083693,0.35579044,-0.16668065,-0.01051838,0.654122,-0.21113412,-0.0004219628,0.83570135,-0.22711356,0.013501489,0.97050244,-0.24071309,0.072297014,0.33732286,-0.15877594,0.053097587,0.55632544,-0.1762853,0.011933091,0.51047647,-0.14143653,-0.0080542285,0.42922503,-0.11525743,0.1485255,0.3174376,-0.15214616,0.09468032,0.46933472,-0.15495105,0.05703122,0.43024078,-0.1161924,0.052502118,0.37257567,-0.083978504
ㅅ,0.0,0.0,0.0,-0.14510995,0.13307935,0.047822703,-0.18263951,0.3298019,0.036791887,-0.15816434,0.4907448,0.02277654,-0.12548944,0.61133784,0.009692364,-0.23541912,0.40157643,-0.0975119,-0.2528517,0.64654243,-0.13571388,-0.27288333,0.79096794,-0.1554834,-0.28269255,0.9074687,-0.16885407,-0.14200388,0.40403715,-0.12807347,-0.11786183,0.6900348,-0.1630283,-0.105610006,0.8597323,-0.1730563,-0.08554009,0.97870153,-0.186618,-0.040476684,0.39312828,-0.13962959,-0.005429268,0.61299264,-0.11938254,-0.02912831,0.55392134,-0.056253787,-0.044041254,0.4728928,-0.022934506,0.0491415,0.36526284,-0.15070815,0.059173964,0.5049511,-0.105056785,0.03803337,0.45965576,-0.04140277,0.0277376,0.4009081,-0.0004942055
ㅅ,0.0,0.0,0.0,-0.13629146,0.115341276,0.023936499,-0.18708073,0.32204288,0.011785769,-0.16120327,0.4980669,-0.006440328,-0.11620124,0.6173318,-0.021952802,-0.24415244,0.38074365,-0.061591078,-0.28279275,0.6378494,-0.09744966,-0.29844517,0.7884275,-0.113004535,-0.30431157,0.90406775,-0.121145405,-0.16498454,0.39812508,-0.09216779,-0.1625747,0.6852788,-0.123277545,-0.15063088,0.86077374,-0.13170914,-0.13300596,0.9812265,-0.1396562,-0.07328522,0.3996782,-0.11455518,-0.0042514154,0.62899065,-0.1256035,0.020512642,0.5740011,-0.093912266,0.025638748,0.48765504,-0.07079801,0.015578098,0.38406032,-0.13752405,0.07312312,0.5304318,-0.12957703,0.08108579,0.48531467,-0.096238226,0.07646828,0.41919628,-0.07045881
ㅅ,0.0,0.0,0.0,-0.13807745,0.091017134,-0.02090636,-0.1926298,0.27209485,-0.063353226,-0.16000886,0.4311783,-0.09356315,-0.11193469,0.53405476,-0.12381557,-0.19225872,0.3115343,-0.17845687,-0.24596149,0.5757322,-0.24440035,-0.2705387,0.7324624,-0.28468028,-0.2842792,0.85538566,-0.30898416,-0.07937901,0.32244587,-0.18100624,-0.0885218,0.640707,-0.2246853,-0.09288163,0.8247167,-0.23794197,-0.09190168,0.96347415,-0.25153857,0.02306278,0.32691556,-0.1711487,-0.005705367,0.5733468,-0.18576503,-0.039879575,0.51540667,-0.14624996,-0.05236962,0.42608464,-0.118801825,0.10450675,0.32836318,-0.16256586,0.04969336,0.49178568,-0.16511522,0.016858174,0.44357955,-0.1252602,0.015427197,0.38156176,-0.09288331
ㅅ,0.0,0.0,0.0,-0.1388925,0.103639826,0.0041708355,-0.19570741,0.30035904,-0.028783247,-0.1734833,0.47973332,-0.055771798,-0.15068996,0.612051,-0.08110518,-0.24804302,0.32817683,-0.15439269,-0.29012042,0.5899916,-0.2085537,-0.31534946,0.74483234,-0.23742731,-0.3287113,0.8657807,-0.2550825,-0.14281902,0.3272404,-0.17186397,-0.1528681,0.6320957,-0.2157261,-0.15565938,0.823094,-0.2262089,-0.14717825,0.9595047,-0.24018592,-0.036908325,0.33180448,-0.17480652,-0.027151933,0.6174326,-0.17894445,-0.053887393,0.5739172,-0.12717423,-0.06947205,0.48555842,-0.09738107,0.05283511,0.33531103,-0.17894445,0.035509225,0.5332851,-0.16515131,0.011832744,0.4952754,-0.11549605,0.0024255512,0.4288289,-0.080829315
ㅖ,0.0,0.0,0.0,-0.030961137,-0.16713628,-0.12276112,-0.032505706,-0.33134466,-0.21981993,0.005400367,-0.38049382,-0.30946085,0.06327382,-0.3041511,-0.3995197,0.34152982,-0.46917605,-0.19307391,0.43683124,-0.5727082,-0.3050728,0.50906867,-0.63483983,-0.38259453,0.5900958,-0.68009233,-0.4350418,0.39927125,-0.29803672,-0.21156625,0.51033014,-0.35542297,-0.35020676,0.5992719,-0.39870217,-0.43211645,0.6940592,-0.41649652,-0.4797578,0.38772166,-0.098867394,-0.23987944,0.3874402,-0.14962867,-0.40411666,0.20548742,-0.22941464,-0.45928034,0.071331695,-0.2741979,-0.4672206,0.3212325,0.0892408,-0.27393883,0.40497378,0.17448089,-0.39659438,0.4906871,0.2537161,-0.4438178,0.5869431,0.3260518,-0.4672206
ㄱ,0.0,0.0,0.0,-0.13312691,0.08315516,-0.027252981,-0.2641691,0.23314458,-0.0785238,-0.3953664,0.3106032,-0.12375611,-0.50578815,0.3000081,-0.17378303,-0.19597839,0.36073712,-0.14085391,-0.14918783,0.6570357,-0.1968515,-0.12744886,0.8306023,-0.22435272,-0.10130092,0.9654497,-0.24009357,-0.07361424,0.3673174,-0.14465342,-0.060597792,0.6207592,-0.20173658,-0.08251482,0.5438256,-0.1870813,-0.092314675,0.4301081,-0.16527936,0.03710681,0.35760188,-0.14221089,0.020487048,0.5685079,-0.1807488,0.0115028415,0.49873492,-0.13669255,0.010314364,0.40580353,-0.09761182,0.13281621,0.35077184,-0.13859232,0.09802999,0.5333722,-0.14863387,0.09478084,0.46490842,-0.10077808,0.10267559,0.38612992,-0.061425988
ㅅ,0.0,0.0,0.0,-0.13170315,0.08219873,-0.015762571,-0.21465746,0.26280957,-0.07995761,-0.23434356,0.45161366,-0.135945,-0.26700333,0.59654224,-0.19912344,-0.2806435,0.20155504,-0.22840126,-0.3432239,0.49135885,-0.30544814,-0.38152626,0.6564156,-0.34705344,-0.41435868,0.80059856,-0.3780434,-0.17833102,0.18750861,-0.250488,-0.18198852,0.5490789,-0.3295895,-0.17334382,0.7580804,-0.34551248,-0.15848492,0.91658634,-0.3670856,-0.06662523,0.19563557,-0.25750786,-0.0878276,0.51619565,-0.29911315,-0.08929601,0.45215088,-0.24381064,-0.08323111,0.36048913,-0.2111085,0.02906241,0.22212003,-0.26435643,-0.006495597,0.48268536,-0.29140845,-0.009428713,0.44000256,-0.24809101,-0.010741934,0.36010087,-0.21692984
ㅖ,0.0,0.0,0.0,-0.034331787,-0.1858343,-0.12211579,-0.057131886,-0.3399519,-0.23669487,-0.050562926,-0.38756856,-0.33968076,-0.019175963,-0.37965682,-0.44479212,0.26920125,-0.4643161,-0.272054,0.34678197,-0.56490505,-0.41464987,0.40543705,-0.6210324,-0.5089409,0.47444692,-0.66585314,-0.5757948,0.32982272,-0.2824679,-0.29775217,0.44505,-0.3376844,-0.47145635,0.48290306,-0.38448006,-0.55840504,0.5246974,-0.42593777,-0.60980135,0.32113737,-0.081192285,-0.3292469,0.3085127,-0.1411095,-0.5189883,0.124352545,-0.21634132,-0.5730898,-0.011332501,-0.27029967,-0.5835236,0.2539067,0.09595538,-0.3649925,0.31411266,0.17623422,-0.52362555,0.36811274,0.2536782,-0.58429646,0.44336295,0.3167223,-0.6159844
ㄱ,0.0,0.0,0.0,-0.12729155,0.06851545,-0.029963631,-0.27278766,0.21695432,-0.08175478,-0.40198186,0.30940825,-0.12630728,-0.5146332,0.28604627,-0.17587975,-0.21761724,0.33226386,-0.14818011,-0.18882707,0.6352062,-0.21012333,-0.17249817,0.81332415,-0.24562186,-0.15031503,0.9516112,-0.26803255,-0.09249873,0.34872657,-0.15077977,-0.08835639,0.60932946,-0.21335045,-0.09961339,0.5242502,-0.20115903,-0.10069485,0.4091187,-0.1809894,0.020540563,0.34699512,-0.14728369,-0.00021238765,0.57166135,-0.1964976,-0.0046926895,0.4952273,-0.1546344,-0.00039117257,0.39376283,-0.115101926,0.119054824,0.3491084,-0.14145692,0.07262893,0.53623104,-0.16216439,0.07514343,0.4632481,-0.116625845,0.0886346,0.3793679,-0.077900134
ㅅ,0.0,0.0,0.0,-0.13656628,0.082304075,-0.025697254,-0.21854587,0.25187021,-0.096455686,-0.23461927,0.42877015,-0.15824895,-0.25594914,0.55982196,-0.22868644,-0.28740448,0.19031946,-0.24015498,-0.34744984,0.4632261,-0.32009253,-0.37945208,0.6393414,-0.36220095,-0.40648112,0.7890348,-0.39335433,-0.18185414,0.16173322,-0.260011,-0.17578302,0.53567076,-0.34611076,-0.16410951,0.7535556,-0.3625433,-0.14844045,0.9119957,-0.38239932,-0.06776023,0.16036828,-0.26565966,-0.08423486,0.49561125,-0.31786728,-0.09183065,0.4408108,-0.26754257,-0.08914753,0.347542,-0.23484863,0.029979007,0.18264355,-0.2711372,-0.00640007,0.45805013,-0.30742577,-0.01378376,0.4221871,-0.26720023,-0.018272579,0.33691245,-0.23587565
ㅅ,0.0,0.0,0.0,-0.12928309,0.09836794,-0.021093572,-0.20290858,0.29246756,-0.07747611,-0.20552294,0.48140037,-0.12653816,-0.20488209,0.6121681,-0.18135612,-0.27258927,0.2660875,-0.19496924,-0.3097001,0.5701335,-0.26952162,-0.33176616,0.7336995,-0.30679786,-0.35567102,0.8738584,-0.3314659,-0.16762829,0.24408789,-0.21707913,-0.14175765,0.6064099,-0.2887079,-0.10682677,0.79759413,-0.30058512,-0.0783006,0.9381404,-0.31465507,-0.059273355,0.23566626,-0.22895637,-0.043564584,0.5578052,-0.28523612,-0.04350228,0.49156854,-0.24741174,-0.047317047,0.39853886,-0.2176273,0.036586303,0.24213104,-0.24046811,0.028616704,0.49405682,-0.28011975,0.023738021,0.44552732,-0.24777718,0.014488625,0.36802915,-0.21890639
ㅅ,0.0,0.0,0.0,-0.13476215,0.08121771,-0.021323781,-0.21744439,0.258328,-0.08220623,-0.22715141,0.44144052,-0.1353777,-0.23159334,0.5752416,-0.19609469,-0.28098106,0.22718194,-0.2153335,-0.32943118,0.52600914,-0.29211223,-0.35709438,0.69644505,-0.33270785,-0.3819635,0.8417663,-0.36077186,-0.17468806,0.20407133,-0.23739633,-0.157367,0.5714441,-0.3136456,-0.13769965,0.7777461,-0.32829532,-0.1184589,0.93074656,-0.3459456,-0.06447019,0.1992561,-0.2472805,-0.06759273,0.53026116,-0.30146688,-0.074316755,0.47320828,-0.2612242,-0.073571585,0.38213006,-0.23210126,0.031436283,0.21483268,-0.25663516,0.0069856322,0.4817229,-0.2958188,-0.00041042062,0.4430214,-0.26193026,-0.007164847,0.363855,-0.23316027
ㄱ,0.0,0.0,0.0,-0.12665802,0.06450368,-0.02365665,-0.28017032,0.20927498,-0.07287133,-0.40926835,0.30134273,-0.116110444,-0.5216964,0.27578658,-0.16436274,-0.23151973,0.32793647,-0.1433251,-0.20852229,0.6286652,-0.20733328,-0.19255884,0.80830467,-0.24582772,-0.17268574,0.9470444,-0.27071482,-0.10757726,0.34575218,-0.15048686,-0.10158686,0.6111738,-0.21682261,-0.10461459,0.5203473,-0.2066171,-0.10277981,0.4016302,-0.18710135,0.008024779,0.34538418,-0.15111351,-0.009400628,0.5711689,-0.20482668,-0.0070720883,0.49111477,-0.16221425,-0.0018241677,0.38747436,-0.121034145,0.11077662,0.34954932,-0.14869642,0.06571548,0.5383437,-0.17241973,0.0735491,0.4625381,-0.12506263,0.08749789,0.3789297,-0.08450919
ㄱ,0.0,0.0,0.0,-0.12813346,0.05531683,-0.029353077,-0.2859045,0.19798541,-0.0795119,-0.4165766,0.28732178,-0.12278004,-0.5274017,0.251112,-0.1704779,-0.23955478,0.3057465,-0.14622627,-0.225893,0.613097,-0.21226948,-0.21599513,0.79720914,-0.25289768,-0.19910792,0.9394674,-0.27884957,-0.11425757,0.32629105,-0.15302746,-0.11942329,0.6023242,-0.22658779,-0.120916635,0.51388913,-0.22211331,-0.11433806,0.39459863,-0.2045734,0.0009544428,0.33519974,-0.1535644,-0.026066812,0.5698844,-0.21065865,-0.023008132,0.48992133,-0.16931453,-0.014368561,0.38767743,-0.12788093,0.10199661,0.3497794,-0.15213257,0.051338397,0.5445077,-0.1772791,0.060062476,0.46821895,-0.13119204,0.07846031,0.38461712,-0.091235004
ㄱ,0.0,0.0,0.0,-0.1266311,0.053434424,-0.020945285,-0.2835552,0.19586094,-0.066851914,-0.41003323,0.2904101,-0.10690848,-0.5198396,0.25532994,-0.15262276,-0.2439116,0.31443912,-0.14112629,-0.22735862,0.6218337,-0.20204848,-0.21604066,0.8030859,-0.23898198,-0.20055948,0.94370264,-0.26306117,-0.11935887,0.34002072,-0.14827764,-0.11696115,0.5978959,-0.20766091,-0.116332985,0.5094197,-0.19335824,-0.11079515,0.39626762,-0.17398626,-0.004030426,0.34824756,-0.1489113,-0.024532812,0.56860566,-0.19697918,-0.021049451,0.48833948,-0.1524417,-0.013095448,0.38824773,-0.113064066,0.09712182,0.36120534,-0.14664821,0.04957209,0.54399395,-0.16674438,0.058264345,0.4653042,-0.11894809,0.07439509,0.38190648,-0.08006832
ㅅ,0.0,0.0,0.0,-0.16962454,0.040187895,-0.012676335,-0.29374048,0.18692267,-0.059331447,-0.34325343,0.37135455,-0.10217169,-0.36949214,0.5069318,-0.15448987,-0.38024658,0.16314465,-0.16832764,-0.44318607,0.4553431,-0.24453022,-0.47089645,0.641611,-0.28907648,-0.49317366,0.79166967,-0.3173207,-0.2737011,0.15782201,-0.19562408,-0.30080244,0.5166648,-0.27220574,-0.32297418,0.7322364,-0.2968484,-0.33930984,0.8860117,-0.3159938,-0.15912078,0.17205779,-0.21439038,-0.1808685,0.5183032,-0.27637607,-0.20212948,0.58860564,-0.25988445,-0.22486687,0.5913405,-0.24301372,-0.055159513,0.20298739,-0.23107153,-0.08952765,0.48222864,-0.27637607,-0.11257083,0.5171603,-0.25666195,-0.13915455,0.4804463,-0.23467317
ㅖ,0.0,0.0,0.0,-0.034274057,-0.1657176,-0.12763628,-0.03351503,-0.3140629,-0.22568993,0.0075665,-0.35688186,-0.31567588,0.08209051,-0.2888811,-0.40566182,0.32327244,-0.45916912,-0.19621177,0.43379343,-0.5737602,-0.30574638,0.516433,-0.6322508,-0.38001063,0.6055252,-0.669211,-0.43069237,0.3797539,-0.29423413,-0.2085202,0.48861402,-0.36321875,-0.34525746,0.5699988,-0.39679635,-0.4230384,0.6579469,-0.39975747,-0.46668676,0.37169898,-0.10358976,-0.23065467,0.39678115,-0.14276026,-0.38600972,0.22512364,-0.21092257,-0.43482965,0.098060325,-0.25021666,-0.44062182,0.3131745,0.082578234,-0.26023626,0.39958686,0.17098396,-0.3783557,0.48063987,0.2523039,-0.42490017,0.568145,0.32292718,-0.44724157
ㅅ,0.0,0.0,0.0,-0.15496144,0.04907727,-0.021004874,-0.2769133,0.20642832,-0.07430986,-0.32560337,0.39566204,-0.12078266,-0.3638101,0.52563125,-0.17544022,-0.34936765,0.17891403,-0.1980986,-0.4081081,0.47631624,-0.27818906,-0.4280413,0.66181934,-0.32387576,-0.44463325,0.81232667,-0.35347039,-0.24108745,0.1762255,-0.21973966,-0.254544,0.5366625,-0.29761052,-0.26451725,0.7448055,-0.32054633,-0.27136216,0.89959455,-0.3421874,-0.12883052,0.18955298,-0.23102263,-0.14276348,0.5236985,-0.28817722,-0.14200808,0.49062195,-0.26024732,-0.1416247,0.41446686,-0.23916113,-0.027399633,0.21994773,-0.24119577,-0.060169637,0.49355856,-0.28336814,-0.07116261,0.47371763,-0.25728786,-0.08770935,0.3983863,-0.2332422
ㄱ,0.0,0.0,0.0,-0.14881057,0.055579036,-0.01647077,-0.28382364,0.17298633,-0.06616019,-0.42131513,0.2473476,-0.11090036,-0.53037226,0.21416362,-0.16152863,-0.2345754,0.33964583,-0.13751265,-0.22207357,0.6422274,-0.18573004,-0.21816069,0.81846535,-0.20659333,-0.2074392,0.9537121,-0.21772043,-0.1127499,0.38301328,-0.13677084,-0.13349055,0.5840645,-0.17126484,-0.15000471,0.50887144,-0.14316891,-0.14764939,0.41005343,-0.11878206,-0.004355163,0.39327717,-0.12833281,-0.04978704,0.5454546,-0.14836156,-0.05383119,0.4841189,-0.104595006,-0.04401895,0.39990416,-0.07246553,0.08844329,0.40122485,-0.11729844,0.024342608,0.51751876,-0.112291254,0.026243085,0.4512476,-0.065001115,0.04147533,0.3831099,-0.02983487
ㅅ,0.0,0.0,0.0,-0.15362656,0.058565233,-0.012639475,-0.26332393,0.2141614,-0.060114253,-0.29529727,0.39689732,-0.10213883,-0.31168842,0.53179556,-0.15316205,-0.34080496,0.21303836,-0.18451813,-0.38521156,0.50518227,-0.25400248,-0.40014017,0.68837607,-0.29537767,-0.41512924,0.83775765,-0.32395068,-0.23527431,0.20522912,-0.20669003,-0.23667005,0.56279206,-0.27181423,-0.2319325,0.76937383,-0.29111025,-0.22443138,0.9229167,-0.31281835,-0.12401355,0.21374652,-0.21708019,-0.13009048,0.5478414,-0.2616096,-0.12601845,0.50555426,-0.23155227,-0.12041845,0.42373767,-0.21188511,-0.022992678,0.23955432,-0.22617161,-0.04794261,0.51282173,-0.26049632,-0.054688226,0.48738864,-0.23303658,-0.06545752,0.41070956,-0.20947313
ㅅ,0.0,0.0,0.0,-0.1465664,0.07880612,-0.007399458,-0.24552527,0.26696324,-0.0519482,-0.26942202,0.47012278,-0.09142894,-0.27842566,0.622046,-0.13965636,-0.32281783,0.24540181,-0.18102176,-0.39080545,0.53710085,-0.24393968,-0.431004,0.6934941,-0.27583355,-0.47037193,0.8276853,-0.29806262,-0.21915452,0.23152477,-0.20412067,-0.21652707,0.5886181,-0.2677151,-0.2012425,0.78795,-0.27950618,-0.18812953,0.93692476,-0.2945833,-0.10789683,0.23483424,-0.21455865,-0.115043566,0.56084055,-0.26017654,-0.11121896,0.51004744,-0.22654304,-0.107855655,0.42536312,-0.202381,-0.009334627,0.25535935,-0.22306369,-0.033539224,0.52079713,-0.25689054,-0.037322663,0.48251072,-0.22615641,-0.04406326,0.40196428,-0.19909494
ㅅ,0.0,0.0,0.0,-0.13787095,0.08642267,-0.014160724,-0.22878973,0.2760541,-0.06298279,-0.24683146,0.47462296,-0.10391477,-0.24692535,0.62812114,-0.15270239,-0.3018325,0.2456855,-0.19221024,-0.34570906,0.54048204,-0.25781167,-0.36880362,0.7087524,-0.29107177,-0.39302927,0.8499955,-0.31349018,-0.19636934,0.23309338,-0.2109535,-0.18852788,0.59017444,-0.27398232,-0.17417546,0.7911093,-0.2857428,-0.16043241,0.939975,-0.30117843,-0.08738192,0.23812161,-0.21738502,-0.09113832,0.5558583,-0.26075178,-0.090106644,0.5042436,-0.22565411,-0.08774405,0.42023462,-0.20103061,0.010142739,0.2602732,-0.22234647,-0.012098814,0.5145663,-0.25229895,-0.015397955,0.47249782,-0.2195901,-0.021277195,0.39372203,-0.19221024
ㅅ,0.0,0.0,0.0,-0.13465194,0.088129826,-0.014314426,-0.22149491,0.28171074,-0.06475413,-0.23734696,0.48444778,-0.10738176,-0.23704511,0.6444966,-0.15831818,-0.29867983,0.24830401,-0.19290797,-0.33628997,0.5382031,-0.25739133,-0.3529155,0.70761585,-0.29062644,-0.3704291,0.85087067,-0.3137465,-0.19517551,0.23419856,-0.21151242,-0.18058093,0.5909506,-0.27418953,-0.16581783,0.7914015,-0.28593016,-0.15047751,0.9411808,-0.30254772,-0.08611876,0.2385244,-0.21765368,-0.08507827,0.5551175,-0.2593782,-0.085121326,0.49986002,-0.2234337,-0.08341389,0.41499352,-0.200133,0.01083401,0.25838766,-0.22234994,-0.010130657,0.5105799,-0.25269505,-0.013662641,0.4677685,-0.22090493,-0.020599803,0.3895457,-0.19525611
ㅇ,0.0,0.0,0.0,-0.13716371,-0.0798942,-0.019943004,-0.2421478,-0.20674627,-0.040242184,-0.31750706,-0.28544047,-0.0694007,-0.36742786,-0.35267237,-0.09451603,-0.15476654,-0.45634827,-0.0026078415,-0.24784203,-0.55541193,-0.08238646,-0.31218326,-0.4778388,-0.1477434,-0.3462041,-0.38627326,-0.17961322,-0.09666793,-0.50247884,-0.031299606,-0.14246465,-0.7026395,-0.079817854,-0.21487547,-0.81521755,-0.12177185,-0.27583694,-0.9155591,-0.15050228,-0.03196007,-0.49430662,-0.07239741,-0.03958018,-0.7149791,-0.11977405,-0.069079526,-0.85617036,-0.15697137,-0.10095125,-0.9785438,-0.17961322,0.029506588,-0.44063213,-0.11701517,0.055432796,-0.6107094,-0.15345141,0.063047394,-0.7377034,-0.16924362,0.062097892,-0.85361934,-0.178757
ㅇ,0.0,0.0,0.0,-0.15836066,-0.05757217,0.020529736,-0.25980243,-0.17805378,0.01896303,-0.34437287,-0.24095471,-0.00023851565,-0.43340993,-0.27711737,-0.016181314,-0.19805767,-0.4456356,0.05208946,-0.32131225,-0.51851916,-0.01579277,-0.38944873,-0.42779592,-0.073497675,-0.42371038,-0.3148965,-0.10077088,-0.17703184,-0.48176235,0.0050475495,-0.25946927,-0.683738,-0.029805385,-0.35333398,-0.77582115,-0.06176618,-0.43241704,-0.8325404,-0.08447715,-0.13964146,-0.471411,-0.054195862,-0.1884677,-0.70249003,-0.09059356,-0.24609439,-0.8427815,-0.1193207,-0.30065927,-0.94362575,-0.13847211,-0.103753135,-0.4262534,-0.114507765,-0.13454968,-0.6014613,-0.14508986,-0.16421805,-0.7259541,-0.15712216,-0.19281377,-0.8261365,-0.16584559
